,beta,lnalpha,lnalpha.c,Smsy_lambert,Umsy_lambert,,132409.8585,535832.8105
521500,8.44547E-06,1.305312135,1.607084983,74044.66745,0.625342358,,,
521600,1.73185E-05,2.133560707,2.531782977,47321.57278,0.819539518,,,
521700,1.41678E-05,1.592487239,1.907416864,49463.88086,0.700793973,,,
521800,2.99808E-06,1.140990903,1.453866673,194083.9918,0.581879961,,,
521900,8.62381E-06,1.663923439,2.459201263,93711.61344,0.808151578,,,
522000,2.13923E-05,2.186615616,2.633075245,39007.93784,0.834470343,,,
522100,9.96136E-06,1.703635551,2.197531271,76496.48813,0.762008971,,,
522200,7.10356E-06,1.307720929,1.849289395,96736.80545,0.687175725,,,
522300,5.84896E-06,1.10943119,1.404128623,96945.97139,0.567033561,,,
522400,1.04935E-05,1.358779289,1.755763315,63303.85762,0.664281386,,,
522500,3.31492E-06,0.909711097,1.342001079,165306.3347,0.54797758,,,
522600,8.00109E-06,1.347956161,1.652366647,79681.14869,0.63753614,,,
522700,1.40901E-05,1.589790442,1.886720875,49396.14212,0.695998437,,,
522800,4.57006E-06,1.022786668,1.370314486,121821.7369,0.556732541,,,
522900,9.59909E-06,1.538152129,1.821907596,70902.46799,0.680599166,,,
523000,1.20158E-05,1.54799019,1.995726223,59971.12066,0.720603361,,,
523100,1.19238E-05,1.347521856,1.752701297,55646.11465,0.66351112,,,
523200,1.19682E-05,1.816513415,2.189149075,63534.63571,0.76039317,,,
523300,8.08788E-06,1.188868413,1.607303303,77325.84385,0.625401857,,,
523400,1.00866E-05,1.658954774,2.158723724,74797.99007,0.754453753,,,
523500,1.701E-05,1.9162494,2.461779834,47534.69445,0.808566266,,,
523600,1.0308E-05,1.565674623,1.851580064,66717.17143,0.687721191,,,
523700,3.24109E-06,0.989064088,1.468181568,180829.869,0.586085564,,,
523800,1.26832E-05,1.715695501,2.219976922,60418.04866,0.766292401,,,
523900,2.6249E-06,0.859704587,1.264472792,199397.1218,0.523398411,,,
524000,1.02271E-05,1.359571252,2.104817811,72712.85592,0.743641069,,,
524100,5.98604E-06,1.13888528,1.480375835,98503.22308,0.589644475,,,
